GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TDMBDDService,com.ait.TDMBDDService,CountImsiFailureDTO,36,0,0,0,16,0,8,0,8,0
TDMBDDService,com.ait.TDMBDDService,TDMBDDService,277,0,4,0,55,0,12,0,10,0
TDMBDDService,com.ait.TDMBDDService,EventCauseDTO,36,0,0,0,16,0,8,0,8,0
TDMBDDService,com.ait.callData,BaseData.Builder,0,105,0,0,0,30,0,16,0,16
TDMBDDService,com.ait.callData,UE,60,36,0,0,26,14,17,3,17,3
TDMBDDService,com.ait.callData,PMData,13,0,0,0,6,0,3,0,3,0
TDMBDDService,com.ait.callData,FailureClass,11,15,0,0,5,7,3,3,3,3
TDMBDDService,com.ait.callData,BaseData,337,90,46,0,87,32,39,16,16,16
TDMBDDService,com.ait.callData,EventCause,67,24,10,0,23,10,10,5,5,5
TDMBDDService,com.ait.callData,MccMnc,77,24,10,0,27,9,13,4,8,4
TDMBDDService,com.ait.DAO,CallDataDAO,146,254,0,10,37,50,5,12,5,7
TDMBDDService,com.ait.DataFileImport,FileData,14,458,4,24,6,83,6,22,2,10
TDMBDDService,com.ait.DataFileImport,ErrorLog,38,15,0,0,17,6,11,1,11,1
TDMBDDService,com.ait.DataFileImport,ConsistencyCheck,0,183,0,34,0,48,0,23,0,6
